date,country,location,purpose,president
"May 22–25, 2016",Vietnam,"Hanoi,Ho Chi Minh City","Met with President Trần Đại Quang, Prime Minister Nguyễn Xuân Phúc and Communist Party General Secretary Nguyễn Phú Trọng.[255][256] Dined with American celebrity chef Anthony Bourdain, who was in Vietnam filming for an episode of Bourdain's show, Anthony Bourdain: Parts Unknown.[257] Met with ten activists advocating to solve different social issues facing Vietnam, including freedom of speech, freedom of the press and Internet freedom,[258] and addressed the Vietnamese people from the Vietnam National Convention Center.[259][260][261] Also visited the Jade Emperor Pagoda in Ho Che Minh City,[262] met with young entrepreneurs and the local business community,[263] and participated in the Young Southeast Asian Leaders Initiative (YSAELI) town hall.[264]",Barack Obama
"May 25–27, 2016",Japan,"Shima,Hiroshima","Met with Japanese Prime Minister Shinzō Abe.[265] Attended the 42nd G7 summit.[266] Also visited the Hiroshima Peace Memorial Park,[267] ther first incumbent American president to visit this memorial to the victims of the U.S. atomic bombing of Hiroshima in August 1945.[268]",Barack Obama
"June 29, 2016",Canada,Ottawa,State visit. Met with Canadian Governor General David Johnston and Canadian Prime Minister Justin Trudeau and addressed a joint session of the Canadian Parliament. Attended the North American Leaders' Summit with Prime Minister Trudeau and Mexican president Enrique Peña Nieto.[269],Barack Obama
"July 8–9, 2016",Poland,Warsaw,"Attended the 27th NATO summit meeting. Also met with Polish president Andrzej Duda, European Council President, former Polish prime minister Donald Tusk, and European Commission President Jean-Claude Juncker to discuss counterterrorism, and the Syrian refugee crisis.[270][271] Also addressed American public following the shooting of Alton Sterling in Baton Rouge, Louisiana and the shooting of Philando Castile in Minnesota, cases which led to protests in the U.S. and allegations of racial injustice and profiling by police.[272]",Barack Obama
"July 9–10, 2016",Spain,"Madrid,Rota",Met with King Felipe VI and Prime Minister Mariano Rajoy.[273] Also met with American military personnel stationed at Naval Station Rota.[274],Barack Obama
"September 3–5, 2016",China,Hangzhou,Attended the G-20 summit.[275],Barack Obama
"September 5–8, 2016",Laos,Vientiane,"Attended the 27th ASEAN Summit and the 11th East Asia Summit, becoming the first U.S. president to visit the country.[276]",Barack Obama
"September 29–30, 2016",Israel,Jerusalem,Attended the state funeral of former Israeli president and prime minister Shimon Peres.[277],Barack Obama
"November 15–16, 2016",Greece,Athens,"State Visit. Met with Prime Minister Alexis Tsipras and President Prokopis Pavlopoulos.[278] Delivered a spech at the Stavros Niarchos Foundation Cultural Center,[279] Toured Acropolis and Acropolis Museum.[280][281]",Barack Obama
"November 16–18, 2016",Germany,Berlin,"Met with Chancellor Angela Merkel, French President François Hollande, Spanish Prime Minister Mariano Rajoy, Italian Prime Minister Matteo Renzi, and British Prime Minister Theresa May.
Met with European leaders of the ""Quint"": German chancellor Angela Merkel, French president François Hollande, British prime minister Theresa May, Italian prime minister Matteo Renzi, and Spanish prime minister Mariano Rajoy. The leaders discussed trade, the Ukrainian crisis, the Syrian Civil War, and ISIL.[282][278]",Barack Obama
"November 18–20, 2016",Peru,Lima,"Attended the APEC summit,[283] and held bilateral meetings with Peruvian president Pedro Pablo Kuczynski, Chinese president Xi Jinping, Australian prime minister Malcolm Turnbull and Canadian prime minister Justin Trudeau. Also hosted a Young Leaders of the Americas Initiative town hall at the Pontifical Catholic University of Peru.[284]",Barack Obama
"February 16, 2001",Mexico,San Cristóbal,"Met with President Vincente Fox; discussed trade, energy, migration, educational opportunities, and the battle against the illegal drug trade.[2]",George W. Bush
"April 20–22, 2001",Canada,Quebec City,Attended the 3rd Summit of the Americas.,George W. Bush
"June 12–13, 2001",Spain,Madrid,Met with King Juan Carlos I and Prime Minister José María Aznar.,George W. Bush
"June 13–14, 2001",Belgium,Brussels,Attended the NATO Summit Meeting. Met with King  Albert II and Prime Minister Guy Verhofstadt.,George W. Bush
"June 14–15, 2001",Sweden,Gothenburg,Attended the U.S.-EU Summit Meeting. Met with King Carl XVI Gustaf and Prime Minister Göran Persson.,George W. Bush
"June 15–16, 2001",Poland,Warsaw,State Visit. Met with President Aleksander Kwaśniewski.,George W. Bush
"June 16, 2001",Slovenia,Kranj,Attended the summit meeting with Russian President Vladimir Putin. Also met with Prime Minister Janez Drnovšek.,George W. Bush
"July 18–20, 2001",United Kingdom,"London,Chequers,Halton,Brize Norton",Met with Prime Minister Tony Blair and Queen Elizabeth II.,George W. Bush
"July 20–24, 2001",Italy,"Genoa,Castel Gandolfo,Rome",Attended the 27th G8 summit.  Met with Pope John Paul II. Also met with Prime Minister Silvio Berlusconi and President Carlo Azeglio Ciampi.,George W. Bush
"July 24, 2001",Kosovo,Camp Bondsteel,Addressed U.S. military personnel.,George W. Bush
"October 18–21, 2001",China,Shanghai,Attended APEC Summit Meeting.,George W. Bush
"February 16–19, 2002",Japan,Tokyo,Met with Emperor Akihito and Prime Minister Junichiro Koizumi. Addressed the Diet.,George W. Bush
"February 19–21, 2002",South Korea,"Seoul,Dorasan,Osan",Met with President Kim Dae-jung. Visited the Korean Demilitarized Zone. Addressed U.S. military personnel.,George W. Bush
"February 21–22, 2002",China,Beijing,Met with President Jiang Zemin and Premier Zhu Rongji.,George W. Bush
"March 21–22, 2002",Mexico,Monterrey,Attended the International Conference on Financing for Development. Met with President Vicente Fox.,George W. Bush
"March 23–24, 2002",Peru,Lima,"Met with the Presidents of Peru, Colombia, and Bolivia, and with the Vice President of Ecuador.",George W. Bush
"March 24, 2002",El Salvador,San Salvador,Attended the Summit Meeting of Presidents of the Central American Republics.,George W. Bush
"May 22–23, 2002",Germany,Berlin,Met with Chancellor Gerhard Schröder. Addressed the Bundestag.,George W. Bush
"May 23–26, 2002",Russia,"Moscow,St. Petersburg",Summit meeting with President Vladimir Putin. Signed Strategic Offensive Reductions Treaty.,George W. Bush
"May 26–27, 2002",France,"Paris,Sainte-Mère-Église,Colleville",Met with President Jacques Chirac. Delivered a Memorial Day address in Normandy.,George W. Bush
"May 27–28, 2002",Italy,Rome,Met with President Carlo Azeglio Ciampi and Prime Minister Silvio Berlusconi. Attended the NATO Summit Meeting and inaugurated the NATO-Russia Council.,George W. Bush
"May 28, 2002",Vatican City,Apostolic Palace,Audience with Pope John Paul II.,George W. Bush
"June 25–27, 2002",Canada,Kananaskis,Attended the 28th G8 summit.,George W. Bush
"October 26–27, 2002",Mexico,Los Cabos,Attended the APEC Summit Meeting.,George W. Bush
"November 19–22, 2002",Czech Republic,Prague,Attended the NATO and EAPC Summit Meetings.,George W. Bush
"November 22, 2002",Russia,St. Petersburg,Met with President Vladimir Putin.,George W. Bush
"November 22–23, 2002",Lithuania,Vilnius,Met with the Presidents of the Baltic states.,George W. Bush
"November 23, 2002",Romania,Bucharest,Met with President Ion Iliescu.,George W. Bush
"March 16, 2003",Portugal,Terceira Island,"Discussed the Iraq crisis with British Prime Minister Tony Blair, Spanish Prime Minister José María Aznar and Portuguese Prime Minister José Manuel Barroso.",George W. Bush
"April 7–8, 2003",United Kingdom,"Belfast,Hillsborough",Met with Prime Minister Tony Blair to discuss the reconstruction of Iraq. Also met with Taoiseach Bertie Ahern and Northern Irish political leaders.,George W. Bush
"May 31, 2003",Poland,"Kraków,Oświęcim",Met with President Aleksander Kwaśniewski and Prime Minister Leszek Miller. Visited Nazi-German Auschwitz concentration camp.,George W. Bush
"May 31 – June 1, 2003",Russia,St. Petersburg,Met with President Vladimir Putin. Attended ceremonies commemorating the city's 300th anniversary.,George W. Bush
"June 1–2, 2003",France,Evian-les-Bains,Attended the 29th G8 summit. Met with Chinese President Hu Jintao.,George W. Bush
"June 2–3, 2003",Egypt,Sharm el-Sheikh,"Attended the ""Red Sea Summit"" with the leaders of Bahrain, Egypt, Jordan and Saudi Arabia, and with Palestinian Authority Prime Minister Mahmoud Abbas.",George W. Bush
"June 4, 2003",Jordan,Aqaba,Attended meetings with Israeli Prime Minister Ariel Sharon and Palestinian Prime Minister Mahmoud Abbas. Met with King Abdullah II.,George W. Bush
"June 4–5, 2003",Qatar,Doha,Met with Emir Hamad bin Khalifa Al Thani. Visited U.S. Central Command headquarters and addressed U.S. military personnel.,George W. Bush
"July 8, 2003",Senegal,"Dakar,Gorée Island",Met with President Abdoulaye Wade.,George W. Bush
"July 8–11, 2003",South Africa,Pretoria,Met with President Thabo Mbeki.,George W. Bush
"July 10, 2003",Botswana,Gaborone,Met with President Festus Mogae. Toured Mokolodi Nature Reserve.,George W. Bush
"July 11, 2003",Uganda,Kampala,Met with President Yoweri Museveni.,George W. Bush
"July 11–12, 2003",Nigeria,Abuja,Met with President Olusegun Obasanjo.,George W. Bush
"October 17–18, 2003",Japan,Tokyo,Met with Prime Minister Junichiro Koizumi.,George W. Bush
"October 18–19, 2003",Philippines,Manila,Addressed a joint session of the Philippine Congress and met with President Gloria Macapagal-Arroyo.,George W. Bush
"October 18–21, 2003",Thailand,Bangkok,Attended the APEC Summit Meeting.,George W. Bush
"October 21–22, 2003",Singapore,Singapore,Met with Prime Minister Goh Chok Tong.,George W. Bush
"October 22, 2003",Indonesia,Denpasar,Met with President Megawati Sukarnoputri and Muslim religious leaders.,George W. Bush
"October 22, 2003",Australia,Canberra,Met with Prime Minister John Howard. Addressed joint meeting of Parliament.,George W. Bush
"November 18–21, 2003",United Kingdom,"London,Sedgefield",State Visit. Met with Queen Elizabeth II and Prime Minister Tony Blair.,George W. Bush
"November 27, 2003",Iraq,Baghdad,Met with members of the Coalition Provisional Authority and the Iraqi Governing Council. Addressed U.S. military personnel.,George W. Bush
"January 12–13, 2004",Mexico,Monterrey,Attended the Special Summit of the Americas.,George W. Bush
"June 4–5, 2004",Italy,Rome,Met with President Carlo Azeglio Ciampi and Prime Minister Silvio Berlusconi.,George W. Bush
"June 4, 2004",Vatican City,Apostolic Palace,Met with Pope John Paul II.,George W. Bush
"June 5–6, 2004",France,"Paris,Colleville,Caen,Arromanches",Met with President Jacques Chirac. Attended the 60th anniversary of D-Day ceremonies.,George W. Bush
"June 25–26, 2004",Ireland,"Shannon,Dromoland Castle",Attended the U.S.-EU Summit Meeting. Met with Taoiseach Bertie Ahern.,George W. Bush
"June 26–29, 2004",Turkey,"Ankara,Istanbul",Met with President Ahmet Necdet Sezer and Prime Minister Recep Tayyip Erdoğan. Attended the NATO Summit meeting.,George W. Bush
"November 19–22, 2004",Chile,Santiago,Attended the APEC Summit Meeting.,George W. Bush
"November 22, 2004",Colombia,Cartagena,Met with President Álvaro Uribe.,George W. Bush
"November 30 – December 1, 2004",Canada,"Ottawa,Gatineau,Halifax",Met with Lieutenant Governor of Nova Scotia Myra Freeman and Prime Minister Paul Martin.,George W. Bush
"February 20–23, 2005",Belgium,Brussels,Attended the NATO and EU Summit Meetings.,George W. Bush
"February 23, 2005",Germany,"Mainz,Wiesbaden",Met with Chancellor Gerhard Schröder. Visited U.S. military personnel.,George W. Bush
"February 23–24, 2005",Slovakia,Bratislava,Attended the summit meeting with Russian President Vladimir Putin. Also met with Prime Minister Mikuláš Dzurinda.,George W. Bush
"April 6–8, 2005",Vatican City,St. Peter's Basilica,Attended the funeral of Pope John Paul II.,George W. Bush
"April 6–8, 2005",Italy,Rome,Met with President Carlo Azeglio Ciampi and Prime Minister Silvio Berlusconi.,George W. Bush
"May 6–7, 2005",Latvia,Riga,Met with the Presidents of the Baltic states.,George W. Bush
"May 7–8, 2005",Netherlands,"Maastricht,Valkenburg,Margraten","Met with Prime Minister Jan Peter Balkenende. Delivered address at the Netherlands American Cemetery, marking the 60th anniversary of the end of World War II in Europe.[3]",George W. Bush
"May 8–9, 2005",Russia,Moscow,Met with President Vladimir Putin. Attended the 60th anniversary of VE Day ceremonies.,George W. Bush
"May 9–10, 2005",Georgia,Tbilisi,Met with President Mikheil Saakashvili.,George W. Bush
"July 5–6, 2005",Denmark,"Kastrup,Fredensborg,Copenhagen",Met with Queen Margrethe II and Prime Minister Anders Fogh Rasmussen.,George W. Bush
"July 6–8, 2005",United Kingdom,Gleneagles,Attended the 31st G8 summit.,George W. Bush
"November 3–5, 2005",Argentina,Mar del Plata,Attended the 4th Summit of the Americas.,George W. Bush
"November 5–6, 2005",Brazil,Brasília,Met with President Luiz Inácio Lula da Silva.,George W. Bush
"November 6–7, 2005",Panama,Panama City,Met with President Martín Torrijos.,George W. Bush
"November 15–16, 2005",Japan,Kyoto,Met with Prime Minister Junichiro Koizumi.,George W. Bush
"November 16–20, 2005",South Korea,"Pusan,Gyeongju,Osan",Attended the APEC Summit Meeting. Met with Russian President Vladimir Putin. Addressed U.S. military personnel.,George W. Bush
"November 20–21, 2005",China,Beijing,Met with President Hu Jintao and Premier Wen Jiabao.,George W. Bush
"November 21, 2005",Mongolia,Ulaanbaatar,Met with President Nambaryn Enkhbayar and Prime Minister Tsakhiagiin Elbegdorj.,George W. Bush
"February 28, 2006",Ireland,Shannon,Met with U.S. Marines who were en route to Iraq.,George W. Bush
"March 1, 2006",Afghanistan,"Bagram,Kabul",Met with President Hamid Karzai. Dedicated new U.S. Embassy. Addressed U.S. military personnel.,George W. Bush
"March 1–3, 2006",India,"New Delhi,Hyderabad",Met with Prime Minister Manmohan Singh. Signed U.S.-India Civil Nuclear Agreement.,George W. Bush
"March 3–4, 2006",Pakistan,Islamabad,Met with President Pervez Musharraf.,George W. Bush
"March 30–31, 2006",Mexico,"Cancún,Chichen-Itza",Attended the 2nd North American Leaders' Summit with President Vincente Fox and Canadian Prime Minister Stephen Harper; visited the Chichen-Itza archaeological site.,George W. Bush
"June 13, 2006",Iraq,Baghdad,Met with Prime Minister Nouri al-Maliki. Addressed U.S. military personnel.,George W. Bush
"June 20–21, 2006",Austria,Vienna,Attended the U.S.-EU Summit Meeting.,George W. Bush
"June 21–22, 2006",Hungary,Budapest,Met with President László Sólyom and  Prime Minister Ferenc Gyurcsány. Attended the 50th anniversary of the Hungarian Uprising.,George W. Bush
"July 12–14, 2006",Germany,"Stralsund,Trinwillershagen",Met with Chancellor Angela Merkel.,George W. Bush
"July 14–17, 2006",Russia,St. Petersburg,"Attended the 32nd G8 summit. Met with Chinese President Hu Jintao, Brazilian President Luiz Inácio Lula da Silva and Indian Prime Minister Manmohan Singh.",George W. Bush
"November 15, 2006",Russia,Moscow,Met with President Vladimir Putin.,George W. Bush
"November 16–17, 2006",Singapore,Singapore,Met with Acting President Pillay and Prime Minister Lee Hsien Loong. Addressed National University of Singapore.,George W. Bush
"November 17–20, 2006",Vietnam,"Hanoi,Ho Chi Minh City",Attended the APEC Summit Meeting.,George W. Bush
"November 20, 2006",Indonesia,"Jakarta,Bogor",Met with President Susilo Bambang Yudhoyono.,George W. Bush
"November 27–28, 2006",Estonia,Tallinn,Met with President Toomas Hendrik Ilves.,George W. Bush
"November 28–29, 2006",Latvia,Riga,Attended the NATO Summit Meeting.,George W. Bush
"November 29–30, 2006",Jordan,Amman,Met with King Abdullah II and Iraqi Prime Minister Nouri al-Maliki.,George W. Bush
"March 8–9, 2007",Brazil,São Paulo,Met with President Luiz Inácio Lula da Silva.,George W. Bush
"March 9–11, 2007",Uruguay,Montevideo,Met with President Tabaré Vázquez.,George W. Bush
"March 11, 2007",Colombia,Bogotá,Met with President Álvaro Uribe.,George W. Bush
"March 11–12, 2007",Guatemala,"Guatemala City,Santa Cruz Balanyá,Iximche",Informal visit; met with President Óscar Berger. Visited Iximche archaeological site.,George W. Bush
"March 12–14, 2007",Mexico,"Mérida,Uxmal",Met with President Felipe Calderón; visited the Maya ruin complex of Uxmal.,George W. Bush
"June 4–5, 2007",Czech Republic,Prague,Met with President Václav Klaus and Prime Minister Mirek Topolánek. Addressed Conference on Democracy and Security.,George W. Bush
"June 5–8, 2007",Germany,Heiligendamm,Attended the 33rd G8 summit. Met with Chinese President Hu Jintao.,George W. Bush
"June 8, 2007",Poland,"Gdańsk,Jurata",Met with President Lech Kaczyński.,George W. Bush
"June 8–10, 2007",Italy,Rome,Met with President Giorgio Napolitano and Prime Minister Romano Prodi.,George W. Bush
"June 9, 2007",Vatican City,Apostolic Palace,Audience with Pope Benedict XVI.,George W. Bush
"June 10, 2007",Albania,Tirana,Met with President Alfred Moisiu and Prime Minister Sali Berisha.,George W. Bush
"June 10–11, 2007",Bulgaria,Sofia,Met with President Georgi Parvanov and Prime Minister Sergei Stanishev.,George W. Bush
"August 20–21, 2007",Canada,Montebello,Attended North American Leaders' Summit with Prime Minister Stephen Harper and Mexican President Felipe Calderón.,George W. Bush
"September 3, 2007",Iraq,Al Asad Airbase,"Met with Gen. David Petraeus, Secretary of State Condoleezza Rice, Secretary of Defense Robert Gates, senior U.S. officials, Iraqi political leaders. Addressed U.S military personnel.",George W. Bush
"September 3–8, 2007",Australia,Sydney,Attended the APEC Summit Meeting.,George W. Bush
"January 9–11, 2008",Israel,"Tel Aviv,Jerusalem",Met with Prime Minister Ehud Olmert and President Shimon Peres. Visited Yad Vashem.,George W. Bush
"January 10, 2008",Palestinian National Authority,"Ramallah,Bethlehem",Met with President Mahmoud Abbas. Visited the Church of the Nativity.,George W. Bush
"January 11–12, 2008",Kuwait,"Kuwait City,Camp Arifjan",Attended Roundtable on Democracy and Development. Met with Gen. David Petraeus and United States Ambassador to Iraq Ryan Crocker. Addressed U.S. military personnel.,George W. Bush
"January 12–13, 2008",Bahrain,Manama,Met with King Hamad bin Isa Al Khalifa. Addressed U.S. military personnel.,George W. Bush
"January 13–14, 2008",United Arab Emirates,"Abu Dhabi, Dubai",Met with President Khalifa bin Zayed Al Nahyan and Prime Minister Mohammed bin Rashid Al Maktoum.,George W. Bush
"January 14–16, 2008",Saudi Arabia,"Riyadh,Al-Janadriyah",Met with King Abdullah.,George W. Bush
"January 16, 2008",Egypt,Sharm el-Sheikh,Met with President Hosni Mubarak.,George W. Bush
"February 16, 2008",Benin,Porto Novo,Met with President Yayi Boni.,George W. Bush
"February 16–19, 2008",Tanzania,"Dar es Salaam,Arusha",Met with President Jakaya Kikwete. Signed Millenimum Challenge agreement.,George W. Bush
"February 19, 2008",Rwanda,Kigali,Met with President Paul Kagame. Dedicated new U.S. Embassy.,George W. Bush
"February 19–21, 2008",Ghana,Accra,Met with President John Kufuor.,George W. Bush
"February 21, 2008",Liberia,Monrovia,Met with President Ellen Johnson Sirleaf.,George W. Bush
"April 1, 2008",Ukraine,Kiev,Met with President Viktor Yushchenko and Prime Minister Yulia Tymoshenko.,George W. Bush
"April 2–4, 2008",Romania,Bucharest,Attended the NATO Summit Meeting.,George W. Bush
"April 4–5, 2008",Croatia,Zagreb,Met with President Stjepan Mesić.,George W. Bush
"April 5–6, 2008",Russia,Sochi,Met with President Vladimir Putin and President-elect Dmitry Medvedev.,George W. Bush
"May 14–16, 2008",Israel,"Tel Aviv,Jerusalem,Masada",Met with President Shimon Peres and Prime Minister Ehud Olmert. Addressed the Knesset. Attended Israel's 60th anniversary. Visited the Masada fortification site.,George W. Bush
"May 16–17, 2008",Saudi Arabia,"Riyadh,al-Janadriyah",Met with King Abdullah.,George W. Bush
"May 17–18, 2008",Egypt,Sharm el-Sheikh,"Met with President Hosni Mubarak, King Abdullah II of Jordan, Palestinian Authority President Mahmoud Abbas and Prime Minister Salam Fayyad, Afghan President Hamid Karzai and Pakistani Prime Minister Yousaf Raza Gillani. Addressed the World Economic Forum.",George W. Bush
"June 9–10, 2008",Slovenia,Ljubljana,Met with President Danilo Türk and Prime Minister Janez Janša. Attended the EU-US Summit Meeting.,George W. Bush
"June 10–11, 2008",Germany,Meseberg,Met with Chancellor Angela Merkel.,George W. Bush
"June 11–13, 2008",Italy,Rome,Met with President Giorgio Napolitano and Prime Minister Silvio Berlusconi.,George W. Bush
"June 13, 2008",Vatican City,Apostolic Palace,Met with Pope Benedict XVI.,George W. Bush
"June 13–15, 2008",France,Paris,Met with President Nicolas Sarkozy. Addressed the OECD. Attended wreath-laying ceremonies at the Suresnes American Cemetery and Memorial and Mémorial de la France combattante.,George W. Bush
"June 15–16, 2008",United Kingdom,"London,Belfast","Met with Queen Elizabeth II at Windsor Castle. Met with Prime Minister Gordon Brown and Quartet Representative Tony Blair. In Belfast, met with First Minister Peter Robertson and Deputy First Minister Martin McGuinness.",George W. Bush
"July 6–9, 2008",Japan,Tōyako,"Attended the 34th G8 summit. Met with Tanzanian President Kikwete, Indian Prime Minister Manmohan Singh, Chinese President Hu Jintao and South Korean President Lee Myung-bak.",George W. Bush
"August 5–6, 2008",South Korea,Seoul,Met with President Lee Myung-bak. Addressed U.S. military personnel.,George W. Bush
"August 6–7, 2008",Thailand,Bangkok,Met with Prime Minister Samak Sundaravej.,George W. Bush
"August 7–11, 2008",China,Beijing,Attended the opening ceremonies of the Olympics Games. Met with President Hu Jintao and Russian Prime Minister Vladimir Putin.,George W. Bush
"November 21–23, 2008",Peru,Lima,Attended the APEC Summit Meeting.,George W. Bush
"December 14, 2008",Iraq,Baghdad,Met with President Jalal Talabani and Prime Minister Nouri al-Maliki. Signed Strategic Framework and Security Agreements. Visited U.S. military personnel.,George W. Bush
"December 14–15, 2008",Afghanistan,Kabul,Met with President Hamid Karzai. Visited U.S. military personnel.,George W. Bush
"April 3–4, 1993",Canada,Vancouver,Attended Summit Meeting with Russian President Boris Yeltsin. Also met with Prime Minister Brian Mulroney.,Bill Clinton
"July 6–10, 1993",Japan,Tokyo,Attended the 19th G7 summit. Met with Russian President Boris Yeltsin.,Bill Clinton
"July 10–11, 1993",South Korea,Seoul,Met with President Kim Young-sam. Addressed the South Korean National Assembly. Visited U.S. military personnel.,Bill Clinton
"January 9–11, 1994",Belgium,Brussels,Attended the NATO Summit Meeting. Met with King Albert II and Prime Minister Jean-Luc Dehaene.,Bill Clinton
"January 11–12, 1994",Czech Republic,Prague,"Met with the Presidents and Prime Ministers of the Czech Republic, Hungary, Poland and Slovakia.",Bill Clinton
"January 12, 1994",Ukraine,Kiev,Met with President Leonid Kravchuk.,Bill Clinton
"January 12–15, 1994",Russia,Moscow,Met with President Boris Yeltsin and senior Russian officials. Signed nuclear disarmament agreement with Ukraine.,Bill Clinton
"January 15, 1994",Belarus,Minsk,Met with Chairman Stanislav Shushkevich.,Bill Clinton
"January 15–16, 1994",Switzerland,Geneva,Met with Syrian President Hafez al-Assad.,Bill Clinton
"June 2–4, 1994",Italy,"Rome,Nettuno",Met with Prime Minister Silvio Berlusconi and President Oscar Luigi Scalfaro. Visited U.S. Military Cemetery.,Bill Clinton
"June 2, 1994",Vatican City,Apostolic Palace,Audience with Pope John Paul II.,Bill Clinton
"June 4–5, 1994",United Kingdom,"Cambridge,London,Portsmouth","Visited U.S. Military Cemetery. Met with Prime Minister John Major. Attended state dinner with Queen Elizabeth II and heads of state and government of Canada, Poland, the Czech Republic, Slovakia, Australia, New Zealand, Norway and Belgium. Attended D-Day commemorative ceremonies.",Bill Clinton
"June 6–8, 1994",France,"Colleville,Paris",Attended the 50th anniversary of D-Day memorial ceremonies. Met with President François Mitterrand and senior French officials. Addressed the French National Assembly.,Bill Clinton
"June 8, 1994",United Kingdom,Oxford,Received honorary degree from Oxford University.,Bill Clinton
"July 6, 1994",Latvia,Riga,Met with the Presidents of the Baltic states.,Bill Clinton
"July 6–7, 1994",Poland,Warsaw,Addressed the Polish Parliament. Attended ceremonies commemorating the Warsaw Ghetto Uprising.,Bill Clinton
"July 7–10, 1994",Italy,Naples,"Attended the 20th G7 summit. Met with Italian Prime Minister Silvio Berlusconi, Japanese Prime Minister Tomiichi Murayama, Canadian Prime Minister Jean Chrétien and Russian President Boris Yeltsin.",Bill Clinton
"July 10–12, 1994",Germany,"Bonn,Ludwigshafen,Berlin",Met with Chancellor Helmut Kohl and German political leaders. Delivered a public address at the Brandenburg Gate. Attended deactivation ceremony for the Berlin Brigade.,Bill Clinton
"October 25–26, 1994",Egypt,Cairo,Met with President Hosni Mubarak and PLO Chairman Yasser Arafat.,Bill Clinton
"October 26–27, 1994",Jordan,"Aqaba,Wadi Arava,Amman",Attended the signing of the Israel-Jordan peace agreement. Addressed the Jordanian Parliament.,Bill Clinton
"October 27, 1994",Syria,Damascus,Met with President Hafez al-Assad.,Bill Clinton
"October 27–28, 1994",Israel,Jerusalem,Met with senior Israeli officials. Addressed the Knesset.,Bill Clinton
"October 28, 1994",Kuwait,Kuwait City,Met with Emir Jaber Al-Ahmad Al-Sabah. Addressed U.S. military personnel.,Bill Clinton
"October 28, 1994",Saudi Arabia,King Khalid Military City,Met with King Fahd.,Bill Clinton
"November 12–13, 1994",Philippines,"Manila,Corregidor Island",State visit. Met with President Fidel V. Ramos. Visited World War II battlegrounds of Corregidor Island.,Bill Clinton
"November 13–16, 1994",Indonesia,"Jakarta,Bogor",State visit. Attended the APEC Summit Meeting.,Bill Clinton
"December 5, 1994",Hungary,Budapest,Attended CSCE Summit Meeting.,Bill Clinton
"February 23–24, 1995",Canada,Ottawa,State visit. Met with Governor General Roméo LeBlanc and Prime Minister Jean Chrétien. Addressed Parliament.,Bill Clinton
"March 31, 1995",Haiti,Port-au-Prince,Attended transition ceremony for United Nations Mission in Haiti.,Bill Clinton
"May 9–11, 1995",Russia,Moscow,Summit meeting. Attended the 50th anniversary of VE Day ceremonies.,Bill Clinton
"May 11–12, 1995",Ukraine,Kiev,State visit. Met with President Leonid Kuchma.,Bill Clinton
"June 15–17, 1995",Canada,Halifax,Attended the 21st G7 summit. Met with Russian President Boris Yeltsin.,Bill Clinton
"November 5–6, 1995",Israel,Jerusalem,Attended the funeral of Prime Minister Yitzhak Rabin.,Bill Clinton
"November 28 – December 1, 1995",United Kingdom,"London,Belfast,Derry",Met with Queen Elizabeth II and Prime Minister John Major. Addressed Parliament. Delivered several public addresses in Northern Ireland.,Bill Clinton
"December 1–2, 1995",Ireland,Dublin,Met with President Mary Robinson  and Prime Minister John Bruton.,Bill Clinton
"December 2, 1995",Germany,Baumholder,Addressed U.S. military personnel. Met with Chancellor Helmut Kohl.,Bill Clinton
"December 2–3, 1995",Spain,Madrid,Attended the European Union Summit Meeting.,Bill Clinton
"December 14, 1995",France,Paris,Attended the signing of the Bosnian peace treaty.,Bill Clinton
"January 13, 1996",Italy,Aviano Air Base,Met with U.S. military personnel.,Bill Clinton
"January 13, 1996",Hungary,Taszár,Met with U.S. military personnel.,Bill Clinton
"January 13, 1996",Bosnia and Herzegovina,Tuzla,Met with President Alija Izetbegovic. Addressed U.S. military personnel.,Bill Clinton
"January 13, 1996",Croatia,Zagreb,Met with President Franjo Tudjman.,Bill Clinton
"March 13, 1996",Egypt,Sharm el-Sheikh,Attended the Summit of the Peacemakers.,Bill Clinton
"March 13–14, 1996",Israel,"Jerusalem,Tel Aviv",Discussed cooperation against terrorism with senior Israeli officials.,Bill Clinton
"April 15–16, 1996",South Korea,Cheju Island,Met with President Kim Young-sam. Proposed four-nation peace talks.,Bill Clinton
"April 16–18, 1996",Japan,Tokyo,State visit. Issued joint statement on U.S.-Japanese security relations. Addressed the Diet and U.S. Navy personnel.,Bill Clinton
"April 18–21, 1996",Russia,"Saint Petersburg,Moscow",Attended the G-7 summit on nuclear safety. Summit Meeting with President Boris Yeltsin.,Bill Clinton
"June 27–29, 1996",France,"Lyon,Pérouges,Paris",Attended the 22nd G7 summit. Met with Russian Prime Minister Viktor Chernomyrdin and UN Secretary-General Boutros Boutros-Ghali.,Bill Clinton
"November 19–23, 1996",Australia,"Sydney,Canberra,Port Douglas",State visit. Addressed joint meeting of Parliament. Visited the Great Barrier Reef.,Bill Clinton
"November 24–25, 1996",Philippines,"Manila,Subic",Attended the APEC Summit Meeting.,Bill Clinton
"November 25–26, 1996",Thailand,Bangkok,State visit.,Bill Clinton
"March 20–21, 1997",Finland,Helsinki,Summit meeting with Russian President Boris Yeltsin. Also met with President Martti Ahtisaari.,Bill Clinton
"May 5–7, 1997",Mexico,"Mexico City,Tlaxcala",State visit. Met with President Ernesto Zedillo.,Bill Clinton
